DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2008,96506,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2009,100639,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2010,104922,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2011,109415,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2012,114412,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2013,119300,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2014,123038,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2015,126012,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2016,128992,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2017,131003,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2018,133389,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2001,134,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2002,134,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2003,132,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2004,133,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2005,126,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2006,126,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2007,123,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2008,117,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2009,113,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2010,110,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2011,109,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57630,A,2012,111,PSNS,,
